gen,best,mean,div_geno,selpres,sigma,event,immigrants
270,0.11394993786953213,0.10916968349675502,0.11395922094245844,1.7,0.1260120240480962,-,0
271,0.11394993786953213,0.10958488480543008,0.11352324997490529,1.7,0.12555110220440882,-,0
272,0.11438133702304365,0.10946257330201399,0.11281294626903822,1.7,0.12509018036072145,-,0
273,0.11438133702304365,0.10908804761460252,0.11466762473753675,1.7,0.12462925851703407,-,0
274,0.11438133702304365,0.10905997253593962,0.11603157039794752,1.7,0.06208416833667335,damp,0
275,0.11438133702304365,0.10962655605326528,0.11573073089062696,1.7,0.06185370741482965,damp,0
276,0.11438133702304365,0.11047720189874943,0.11276829717484269,1.7,0.12324649298597193,-,0
277,0.11442750203804125,0.11042786701815144,0.11318364334019831,1.7,0.12278557114228456,-,0
278,0.11442750203804125,0.11019864807699924,0.11405173861077973,1.7,0.12232464929859718,-,0
279,0.11493948738682272,0.11048045282123464,0.11498819981325854,1.7,0.12186372745490981,-,0
280,0.11513614491148251,0.11105742952702521,0.1158140868297916,1.7,0.06070140280561122,damp,0
281,0.11950120391954534,0.11176492628110588,0.1149522264520604,1.7,0.12094188376753506,-,0
282,0.11950120391954534,0.11167011605361228,0.11681594781415475,1.7,0.060240480961923845,damp,0
283,0.11950120391954534,0.11241365031015302,0.1147213563614026,1.7,0.12002004008016032,-,0
284,0.11950120391954534,0.11228543338512434,0.11657440157532804,1.7,0.05977955911823647,damp,0
285,0.11950120391954534,0.11290920130373631,0.11511578104117834,1.7,0.059549098196392786,damp,0
286,0.11950120391954534,0.11398721033626262,0.11278289054967888,1.7,0.1186372745490982,-,0
287,0.11950120391954534,0.1135401197581917,0.11415831747022404,1.7,0.11817635270541083,-,0
288,0.11950120391954534,0.11358052301535178,0.11477155009758226,1.7,0.11771543086172342,-,0
289,0.11950120391954534,0.11395087696107609,0.11497713111662325,1.7,0.11725450901803605,-,0
290,0.11950120391954534,0.11417842419067478,0.11547454784139354,1.7,0.05839679358717434,damp,0
291,0.11950120391954534,0.11502052026180669,0.11200778876202246,1.7,0.1163326653306613,-,0
292,0.11950120391954534,0.11484998315077007,0.11113477450117105,1.7,0.11587174348697393,-,0
293,0.12015215202597532,0.11519475322771097,0.11128697883270938,1.7,0.11541082164328656,-,0
294,0.12015215202597532,0.11526211978014347,0.10995747136655933,1.7,0.11494989979959919,-,0
295,0.12015215202597532,0.11519628545061593,0.11034276913592551,1.7,0.11448897795591181,-,0
296,0.12015215202597532,0.11518548392987056,0.11158822618266923,1.7,0.11402805611222444,-,0
297,0.12244349619969408,0.11572529049637514,0.11202978022946777,1.7,0.11356713426853707,-,0
298,0.12244349619969408,0.11532723401325887,0.11321910352567721,1.7,0.1131062124248497,-,0
299,0.12244349619969408,0.11526381907566075,0.11424201781168415,1.7,0.11264529058116232,-,0
